onset	duration	trial_type	stimulus
16.619	0.1200000000000001	Word	il
16.819	0.02	Word	se
17.02	0.25	Word	trouvait
17.33	0.0900000000000003	Word	dans
17.42	0.0699999999999998	Word	la
17.551	0.4699999999999997	Word	région
18.021	0.2300000000000004	Word	des
18.251	0.7199999999999998	Word	astéroïdes
18.971	1.17	Word	325
20.241	1.1999999999999993	Word	326
21.611	1.0299999999999994	Word	327
22.821	1.2100000000000009	Word	328
24.171	1.0900000000000016	Word	329
25.521	0.0899999999999998	Word	et
25.611	1.0399999999999991	Word	330
27.531	0.1899999999999995	Word	il
27.721	0.4199999999999999	Word	commença
28.141	0.3200000000000003	Word	donc
28.462	0.1699999999999999	Word	par
28.632	0.1500000000000003	Word	les
28.782	0.6099999999999994	Word	visiter
29.392	0.2600000000000015	Word	pour
29.652	0.0399999999999991	Word	y
29.693	0.4899999999999984	Word	chercher
30.183	0.1099999999999994	Word	une
30.293	0.7200000000000024	Word	occupation
31.253	0.0899999999999998	Word	et
31.343	0.1799999999999997	Word	pour
31.523	0.1000000000000014	Word	s
31.623	0.6699999999999982	Word	instruire
33.193	0.1999999999999993	Word	le
33.393	0.4800000000000004	Word	premier
33.873	0.3399999999999998	Word	était
34.213	0.3999999999999986	Word	habité
34.613	0.1600000000000001	Word	par
34.773	0.1799999999999997	Word	un
34.954	0.2800000000000011	Word	roi
35.823	0.2100000000000008	Word	le
36.033	0.25	Word	roi
36.283	0.7199999999999989	Word	siégeait
37.173	0.4599999999999973	Word	habillé
37.633	0.1700000000000017	Word	de
37.803	0.379999999999999	Word	pourpre
38.263	0.0799999999999983	Word	et
38.344	0.0600000000000022	Word	d
38.404	0.5499999999999972	Word	hermine
39.193	0.25	Word	sur
39.444	0.1400000000000005	Word	un
39.584	0.379999999999999	Word	trône
39.964	0.3299999999999983	Word	très
40.294	0.5899999999999999	Word	simple
41.053	0.0599999999999987	Word	et
41.114	0.5899999999999999	Word	cependant
41.703	0.7700000000000031	Word	majestueux
43.613	0.3000000000000007	Word	ah
44.083	0.2099999999999973	Word	voilà
44.393	0.0199999999999995	Word	un
44.414	0.4400000000000013	Word	sujet
45.323	0.129999999999999	Word	s
45.453	0.3700000000000045	Word	écria
45.823	0.1199999999999974	Word	le
45.943	0.3100000000000023	Word	roi
46.253	0.259999999999998	Word	quand
46.513	0.0799999999999983	Word	il
46.594	0.3999999999999986	Word	aperçut
46.994	0.1300000000000025	Word	le
47.124	0.2800000000000011	Word	petit
47.404	0.5499999999999972	Word	prince
48.693	0.0600000000000022	Word	et
48.754	0.1299999999999954	Word	le
48.884	0.2600000000000051	Word	petit
49.144	0.4799999999999969	Word	prince
49.624	0.0700000000000002	Word	se
49.694	0.4600000000000008	Word	demanda
50.783	0.4500000000000028	Word	comment
51.233	0.1400000000000005	Word	peut
51.373	0.1400000000000005	Word	-il
51.514	0.0799999999999983	Word	me
51.594	0.6400000000000006	Word	reconnaître
52.234	0.3100000000000023	Word	puisqu
52.544	0.0899999999999963	Word	il
52.634	0.0700000000000002	Word	ne
52.704	0.0799999999999983	Word	m
52.785	0.0400000000000062	Word	a
52.825	0.3799999999999954	Word	encore
53.205	0.5500000000000043	Word	jamais
53.754	0.1799999999999997	Word	vu
54.993	0.1300000000000025	Word	il
55.124	0.0700000000000002	Word	ne
55.194	0.3900000000000005	Word	savait
55.584	0.1999999999999957	Word	pas
55.784	0.3200000000000003	Word	que
56.274	0.1600000000000037	Word	pour
56.434	0.1599999999999966	Word	les
56.594	0.2800000000000011	Word	rois
57.224	0.1899999999999977	Word	le
57.414	0.3599999999999994	Word	monde
57.774	0.1600000000000037	Word	est
