onset	duration	trial_type	stimulus
14.392	0.1200000000000001	Word	il
14.592	0.02	Word	se
14.793	0.25	Word	trouvait
15.103	0.0900000000000003	Word	dans
15.193	0.0699999999999998	Word	la
15.324	0.4699999999999997	Word	région
15.794	0.2300000000000004	Word	des
16.024	0.7199999999999998	Word	astéroïdes
16.744	1.17	Word	325
18.014	1.1999999999999993	Word	326
19.384	1.0299999999999994	Word	327
20.594	1.2100000000000009	Word	328
21.944	1.0900000000000016	Word	329
23.294	0.0899999999999998	Word	et
23.384	1.0399999999999991	Word	330
25.304	0.1899999999999995	Word	il
25.494	0.4199999999999999	Word	commença
25.915	0.3200000000000003	Word	donc
26.235	0.1699999999999999	Word	par
26.405	0.1500000000000003	Word	les
26.555	0.6099999999999994	Word	visiter
27.165	0.2600000000000015	Word	pour
27.426	0.0399999999999991	Word	y
27.466	0.4899999999999984	Word	chercher
27.956	0.1099999999999994	Word	une
28.066	0.7200000000000024	Word	occupation
29.026	0.0899999999999998	Word	et
29.116	0.1799999999999997	Word	pour
29.296	0.1000000000000014	Word	s
29.397	0.6699999999999982	Word	instruire
30.966	0.1999999999999993	Word	le
31.166	0.4800000000000004	Word	premier
31.646	0.3399999999999998	Word	était
31.986	0.3999999999999986	Word	habité
32.386	0.1600000000000001	Word	par
32.546	0.1799999999999997	Word	un
32.727	0.2800000000000011	Word	roi
33.596	0.2100000000000008	Word	le
33.807	0.25	Word	roi
34.057	0.7199999999999989	Word	siégeait
34.946	0.4599999999999973	Word	habillé
35.406	0.1700000000000017	Word	de
35.576	0.379999999999999	Word	pourpre
36.037	0.0799999999999983	Word	et
36.117	0.0600000000000022	Word	d
36.177	0.5499999999999972	Word	hermine
36.967	0.25	Word	sur
37.217	0.1400000000000005	Word	un
37.357	0.379999999999999	Word	trône
37.737	0.3299999999999983	Word	très
38.067	0.5899999999999999	Word	simple
38.827	0.0599999999999987	Word	et
38.887	0.5899999999999999	Word	cependant
39.477	0.7700000000000031	Word	majestueux
41.386	0.3000000000000007	Word	ah
41.856	0.2099999999999973	Word	voilà
42.166	0.0199999999999995	Word	un
42.187	0.4400000000000013	Word	sujet
43.096	0.129999999999999	Word	s
43.226	0.3700000000000045	Word	écria
43.596	0.1199999999999974	Word	le
43.716	0.3100000000000023	Word	roi
44.027	0.259999999999998	Word	quand
44.287	0.0799999999999983	Word	il
44.367	0.3999999999999986	Word	aperçut
44.767	0.1300000000000025	Word	le
44.897	0.2800000000000011	Word	petit
45.177	0.5499999999999972	Word	prince
46.466	0.0600000000000022	Word	et
46.527	0.1299999999999954	Word	le
46.657	0.2600000000000051	Word	petit
46.917	0.4799999999999969	Word	prince
47.397	0.0700000000000002	Word	se
47.467	0.4600000000000008	Word	demanda
48.557	0.4500000000000028	Word	comment
49.006	0.1400000000000005	Word	peut
49.147	0.1400000000000005	Word	-il
49.287	0.0799999999999983	Word	me
49.367	0.6400000000000006	Word	reconnaître
50.007	0.3100000000000023	Word	puisqu
50.317	0.0899999999999963	Word	il
50.407	0.0700000000000002	Word	ne
50.477	0.0799999999999983	Word	m
50.558	0.0400000000000062	Word	a
50.598	0.3799999999999954	Word	encore
50.978	0.5500000000000043	Word	jamais
51.527	0.1799999999999997	Word	vu
52.767	0.1300000000000025	Word	il
52.897	0.0700000000000002	Word	ne
52.967	0.3900000000000005	Word	savait
53.357	0.1999999999999957	Word	pas
53.557	0.3200000000000003	Word	que
54.047	0.1600000000000037	Word	pour
54.207	0.1599999999999966	Word	les
54.367	0.2800000000000011	Word	rois
54.997	0.1899999999999977	Word	le
55.187	0.3599999999999994	Word	monde
55.547	0.1600000000000037	Word	est
55.707	0.3299999999999983	Word	très
56.037	0.7800000000000011	Word	simplifié
57.217	0.1599999999999966	Word	tous
57.377	0.2700000000000031	Word	les
57.647	0.1799999999999997	Word	hommes
57.827	0.2299999999999968	Word	sont
58.057	0.1200000000000045	Word	des
58.177	0.4699999999999988	Word	sujets
59.576	0.3500000000000014	Word	approche
59.926	0.2100000000000008	Word	-toi
60.186	0.0300000000000011	Word	que
60.217	0.1499999999999985	Word	je
60.367	0.0700000000000002	Word	te
60.437	0.1899999999999977	Word	voie
60.627	0.3300000000000054	Word	mieux
61.277	0.2199999999999988	Word	lui
61.497	0.1400000000000005	Word	dit
61.637	0.1400000000000005	Word	le
61.777	0.3200000000000003	Word	roi
62.187	0.3100000000000023	Word	qui
62.497	0.269999999999996	Word	était
62.767	0.3800000000000025	Word	tout
63.147	0.4200000000000017	Word	fier
63.567	0.0599999999999951	Word	d
63.627	0.240000000000002	Word	être
63.867	0.4299999999999997	Word	enfin
64.297	0.3000000000000042	Word	roi
64.597	0.2299999999999968	Word	pour
64.828	0.3400000000000034	Word	quelqu
65.167	0.1099999999999994	Word	un
66.406	0.1099999999999994	Word	le
66.517	0.3800000000000025	Word	petit
66.897	0.1700000000000017	Word	prince
67.167	0.5899999999999963	Word	chercha
67.757	0.25	Word	des
68.007	0.1899999999999977	Word	yeux
68.277	0.0899999999999963	Word	où
68.367	0.1199999999999974	Word	s
68.487	0.5200000000000031	Word	asseoir
69.337	0.1700000000000017	Word	mais
69.507	0.1400000000000005	Word	la
69.647	0.5	Word	planète
