onset	duration	trial_type	stimulus
16.21	0.0300000000000002	Word	j
16.32	0.2099999999999999	Word	avais
16.621	0.3900000000000001	Word	ainsi
17.121	0.4200000000000008	Word	appris
17.581	0.2699999999999996	Word	une
17.852	0.6399999999999997	Word	seconde
18.492	0.4400000000000004	Word	chose
18.932	0.4900000000000002	Word	très
19.422	0.7299999999999995	Word	importante
20.652	0.1100000000000003	Word	c
20.762	0.0700000000000002	Word	est
20.833	0.0999999999999996	Word	que
20.933	0.2699999999999996	Word	sa
21.203	0.450000000000001	Word	planète
21.653	0.0499999999999989	Word	d
21.704	0.4800000000000004	Word	origine
22.304	0.3900000000000005	Word	était
22.694	0.1500000000000003	Word	à
22.964	0.3100000000000005	Word	peine
23.274	0.1699999999999999	Word	plus
23.444	0.4700000000000006	Word	grande
23.954	0.08	Word	qu
24.035	0.1899999999999995	Word	une
24.225	0.4400000000000013	Word	maison
25.374	0.1900000000000012	Word	ça
25.564	0.1199999999999992	Word	ne
25.685	0.3000000000000007	Word	pouvait
25.985	0.1499999999999985	Word	pas
26.135	0.0500000000000007	Word	m
26.185	0.3399999999999998	Word	étonner
26.525	0.4399999999999995	Word	beaucoup
27.605	0.1300000000000007	Word	je
27.735	0.3499999999999996	Word	savais
28.085	0.2999999999999989	Word	bien
28.385	0.0700000000000002	Word	qu
28.455	0.08	Word	en
28.536	0.2800000000000011	Word	dehors
28.816	0.1099999999999994	Word	des
28.926	0.3099999999999987	Word	grosses
29.236	0.4499999999999993	Word	planètes
29.686	0.2100000000000008	Word	comme
29.896	0.1300000000000025	Word	la
30.026	0.5	Word	terre
30.616	0.8199999999999967	Word	jupiter
31.505	0.5800000000000018	Word	mars
32.205	0.5999999999999979	Word	vénus
33.064	0.3299999999999983	Word	auxquelles
33.395	0.1400000000000005	Word	on
33.535	0.0899999999999998	Word	a
33.625	0.2600000000000015	Word	donné
33.885	0.1400000000000005	Word	des
34.025	0.2699999999999996	Word	noms
34.735	0.1300000000000025	Word	il
34.865	0.139999999999997	Word	y
35.005	0.120000000000001	Word	en
35.126	0.1099999999999994	Word	a
35.236	0.120000000000001	Word	des
35.356	0.5700000000000003	Word	centaines
35.926	0.0700000000000002	Word	d
35.996	0.2899999999999991	Word	autres
36.286	0.1700000000000017	Word	qui
36.456	0.1799999999999997	Word	sont
36.636	0.5799999999999983	Word	quelquefois
37.216	0.25	Word	si
37.596	0.5400000000000027	Word	petites
38.475	0.0799999999999983	Word	qu
38.555	0.129999999999999	Word	on
38.686	0.1000000000000014	Word	a
38.786	0.4699999999999988	Word	beaucoup
39.256	0.120000000000001	Word	de
39.376	0.3500000000000014	Word	mal
39.726	0.129999999999999	Word	à
39.856	0.2199999999999988	Word	les
40.076	0.6700000000000017	Word	apercevoir
40.746	0.0350000000000001	Word	au
40.816	0.6999999999999993	Word	télescope
42.555	0.3100000000000023	Word	quand
42.934	0.0600000000000022	Word	un
42.995	0.6699999999999982	Word	astronome
43.664	0.5700000000000003	Word	découvre
44.235	0.0800000000000018	Word	l
44.315	0.1799999999999997	Word	une
44.495	0.0599999999999987	Word	d
44.555	0.3599999999999994	Word	elles
45.165	0.2100000000000008	Word	il
45.375	0.1599999999999966	Word	lui
45.535	0.2999999999999971	Word	donne
45.835	0.2300000000000039	Word	pour
46.065	0.3299999999999983	Word	nom
46.395	0.1600000000000037	Word	un
46.555	0.5899999999999963	Word	numéro
47.875	0.2299999999999968	Word	il
48.105	0.0200000000000031	Word	l
48.126	0.3499999999999943	Word	appelle
48.475	0.1600000000000037	Word	par
48.635	0.6099999999999994	Word	exemple
49.555	0.1499999999999985	Word	l
49.705	0.8099999999999952	Word	astéroïde
50.514	1.6851740000000035	Word	3251
53.286	0.1167659999999841	Word	j
53.403	0.0406680000000037	Word	ai
53.444	0.0993319999999968	Word	de
53.544	0.6099999999999994	Word	sérieuses
54.154	0.3500000000000014	Word	raisons
54.504	0.1200000000000045	Word	de
54.624	0.3899999999999934	Word	croire
55.014	0.1000000000000014	Word	que
55.114	0.1600000000000037	Word	la
55.274	0.4899999999999949	Word	planète
55.764	0.0800000000000054	Word	d
55.845	0.1099999999999994	Word	où
55.955	0.2899999999999991	Word	venait
56.245	0.1199999999999974	Word	le
56.365	0.3400000000000034	Word	petit
56.705	0.490000000000002	Word	prince
57.544	0.1700000000000017	Word	est
57.715	0.0700000000000002	Word	l
57.785	0.8599999999999994	Word	astéroïde
58.685	0.3599999999999994	Word	b
59.145	0.8999999999999986	Word	612
61.003	0.2300000000000039	Word	cet
61.234	0.7299999999999969	Word	astéroïde
61.963	0.1499999999999985	Word	n
62.114	0.0399999999999991	Word	a
62.214	0.2300000000000039	Word	été
62.444	0.6199999999999974	Word	aperçu
63.124	0.0999999999999943	Word	qu
63.224	0.1799999999999997	Word	une
63.404	0.240000000000002	Word	fois
63.644	0.0450000000000017	Word	au
63.735	0.759999999999998	Word	télescope
64.694	0.1199999999999974	Word	en
64.814	1.019999999999996	Word	1909
66.074	0.1899999999999977	Word	par
66.264	0.1300000000000025	Word	un
66.394	0.6700000000000017	Word	astronome
67.064	0.6099999999999994	Word	turc
68.463	0.1499999999999985	Word	il
68.613	0.25	Word	avait
68.864	0.2199999999999988	Word	fait
69.084	0.3800000000000025	Word	alors
