onset	duration	trial_type	stimulus
14.861	0.1100000000000003	Word	la
15.032	0.48	Word	sixième
15.632	0.5299999999999998	Word	planète
16.342	0.1999999999999993	Word	était
16.602	0.2199999999999997	Word	une
16.823	0.5	Word	planète
17.323	0.3600000000000003	Word	dix
17.683	0.3599999999999994	Word	fois
18.044	0.2700000000000004	Word	plus
18.314	0.5800000000000001	Word	vaste
19.454	0.2000000000000001	Word	Elle
19.654	0.3000000000000007	Word	était
19.954	0.4399999999999995	Word	habitée
20.394	0.1600000000000001	Word	par
20.555	0.1699999999999999	Word	un
20.725	0.1899999999999995	Word	vieux
20.915	0.5500000000000007	Word	monsieur
21.625	0.1699999999999999	Word	qui
21.795	0.5199999999999996	Word	écrivait
22.315	0.1199999999999992	Word	d
22.436	0.8300000000000001	Word	énormes
23.265	0.5300000000000011	Word	livres
24.765	0.2900000000000009	Word	«Tiens
25.375	0.2899999999999991	Word	voilà
25.665	0.0300000000000011	Word	un
25.835	0.8900000000000006	Word	explorateur
27.225	0.1400000000000005	Word	s
27.365	0.3599999999999994	Word	écria
27.725	0.2400000000000002	Word	-t
27.965	0.1900000000000012	Word	-il
28.245	0.2299999999999968	Word	quand
28.476	0.120000000000001	Word	il
28.596	0.4100000000000001	Word	aperçut
29.006	0.120000000000001	Word	le
29.126	0.3099999999999987	Word	petit
29.436	0.6099999999999994	Word	prince
30.956	0.1400000000000005	Word	Le
31.096	0.3200000000000003	Word	petit
31.416	0.4699999999999988	Word	prince
31.886	0.0200000000000031	Word	s
31.907	0.3499999999999978	Word	assit
32.256	0.1500000000000021	Word	sur
32.406	0.1599999999999966	Word	la
32.567	0.4300000000000032	Word	table
33.166	0.0899999999999998	Word	et
33.257	0.4600000000000008	Word	souffla
33.717	0.259999999999998	Word	un
33.977	0.2700000000000031	Word	peu
34.776	0.1900000000000012	Word	Il
34.966	0.25	Word	avait
35.217	0.4199999999999981	Word	déjà
35.806	0.2800000000000011	Word	tant
36.087	0.629999999999999	Word	voyagé
37.476	0.0899999999999998	Word	«D
37.566	0.1300000000000025	Word	où
37.696	0.2100000000000008	Word	viens
37.906	0.3999999999999986	Word	-tu
38.596	0.2199999999999988	Word	lui
38.816	0.1600000000000001	Word	dit
38.976	0.120000000000001	Word	le
39.096	0.1799999999999997	Word	vieux
39.277	0.4800000000000004	Word	monsieur
40.746	0.1999999999999993	Word	Quel
40.946	0.0899999999999998	Word	est
41.036	0.1600000000000001	Word	ce
