onset	duration	trial_type	stimulus
21.823	0.1200000000000001	Word	il
22.023	0.02	Word	se
22.223	0.25	Word	trouvait
22.533	0.0900000000000003	Word	dans
22.624	0.0699999999999998	Word	la
22.754	0.4699999999999997	Word	région
23.224	0.2300000000000004	Word	des
23.454	0.7199999999999998	Word	astéroïdes
24.175	1.17	Word	325
25.447	1.1999999999999993	Word	326
26.818	1.0299999999999994	Word	327
28.029	1.2100000000000009	Word	328
29.38	1.0900000000000016	Word	329
30.733	0.0899999999999998	Word	et
30.823	1.0399999999999991	Word	330
32.746	0.1899999999999995	Word	il
32.936	0.4199999999999999	Word	commença
33.356	0.3200000000000003	Word	donc
33.676	0.1699999999999999	Word	par
33.847	0.1500000000000003	Word	les
33.997	0.6099999999999994	Word	visiter
34.607	0.2600000000000015	Word	pour
34.868	0.0399999999999991	Word	y
34.908	0.4899999999999984	Word	chercher
35.398	0.1099999999999994	Word	une
35.508	0.7200000000000024	Word	occupation
36.47	0.0899999999999998	Word	et
36.561	0.1799999999999997	Word	pour
36.741	0.1000000000000014	Word	s
36.841	0.6699999999999982	Word	instruire
38.412	0.1999999999999993	Word	le
38.613	0.4800000000000004	Word	premier
39.094	0.3399999999999998	Word	était
39.435	0.3999999999999986	Word	habité
39.835	0.1600000000000001	Word	par
39.995	0.1799999999999997	Word	un
40.176	0.2800000000000011	Word	roi
41.046	0.2100000000000008	Word	le
41.256	0.25	Word	roi
41.506	0.7199999999999989	Word	siégeait
42.397	0.4599999999999973	Word	habillé
42.858	0.1700000000000017	Word	de
43.028	0.379999999999999	Word	pourpre
43.489	0.0799999999999983	Word	et
43.569	0.0600000000000022	Word	d
43.63	0.5499999999999972	Word	hermine
44.421	0.25	Word	sur
44.671	0.1400000000000005	Word	un
44.811	0.379999999999999	Word	trône
45.191	0.3299999999999983	Word	très
45.521	0.5899999999999999	Word	simple
46.283	0.0599999999999987	Word	et
46.343	0.5899999999999999	Word	cependant
46.933	0.7700000000000031	Word	majestueux
48.845	0.3000000000000007	Word	ah
49.316	0.2099999999999973	Word	voilà
49.626	0.0199999999999995	Word	un
49.646	0.4400000000000013	Word	sujet
50.558	0.129999999999999	Word	s
50.688	0.3700000000000045	Word	écria
51.059	0.1199999999999974	Word	le
51.179	0.3100000000000023	Word	roi
51.489	0.259999999999998	Word	quand
51.749	0.0799999999999983	Word	il
51.829	0.3999999999999986	Word	aperçut
52.23	0.1300000000000025	Word	le
52.36	0.2800000000000011	Word	petit
52.64	0.5499999999999972	Word	prince
53.932	0.0600000000000022	Word	et
53.992	0.1299999999999954	Word	le
54.122	0.2600000000000051	Word	petit
54.382	0.4799999999999969	Word	prince
54.863	0.0700000000000002	Word	se
54.933	0.4600000000000008	Word	demanda
56.024	0.4500000000000028	Word	comment
56.474	0.1400000000000005	Word	peut
56.615	0.1400000000000005	Word	-il
56.755	0.0799999999999983	Word	me
56.835	0.6400000000000006	Word	reconnaître
57.475	0.3100000000000023	Word	puisqu
57.786	0.0899999999999963	Word	il
57.876	0.0700000000000002	Word	ne
57.946	0.0799999999999983	Word	m
58.026	0.0400000000000062	Word	a
58.066	0.3799999999999954	Word	encore
58.447	0.5500000000000043	Word	jamais
58.997	0.1799999999999997	Word	vu
60.239	0.1300000000000025	Word	il
60.369	0.0700000000000002	Word	ne
60.439	0.3900000000000005	Word	savait
60.829	0.1999999999999957	Word	pas
61.029	0.3200000000000003	Word	que
61.52	0.1600000000000037	Word	pour
61.681	0.1599999999999966	Word	les
61.841	0.2800000000000011	Word	rois
62.471	0.1899999999999977	Word	le
62.661	0.3599999999999994	Word	monde
63.021	0.1600000000000037	Word	est
63.181	0.3299999999999983	Word	très
63.512	0.7800000000000011	Word	simplifié
64.693	0.1599999999999966	Word	tous
64.853	0.2700000000000031	Word	les
65.123	0.1799999999999997	Word	hommes
65.303	0.2299999999999968	Word	sont
65.534	0.1200000000000045	Word	des
65.654	0.4699999999999988	Word	sujets
67.056	0.3500000000000014	Word	approche
67.407	0.2100000000000008	Word	-toi
67.667	0.0300000000000011	Word	que
67.697	0.1499999999999985	Word	je
67.847	0.0700000000000002	Word	te
67.917	0.1899999999999977	Word	voie
68.107	0.3300000000000054	Word	mieux
68.758	0.2199999999999988	Word	lui
68.978	0.1400000000000005	Word	dit
69.118	0.1400000000000005	Word	le
69.258	0.3200000000000003	Word	roi
69.669	0.3100000000000023	Word	qui
69.979	0.269999999999996	Word	était
70.25	0.3800000000000025	Word	tout
70.63	0.4200000000000017	Word	fier
71.05	0.0599999999999951	Word	d
71.11	0.240000000000002	Word	être
71.351	0.4299999999999997	Word	enfin
71.781	0.3000000000000042	Word	roi
72.082	0.2299999999999968	Word	pour
72.312	0.3400000000000034	Word	quelqu
72.653	0.1099999999999994	Word	un
73.894	0.1099999999999994	Word	le
74.004	0.3800000000000025	Word	petit
74.385	0.1700000000000017	Word	prince
74.655	0.5899999999999963	Word	chercha
75.246	0.25	Word	des
75.496	0.1899999999999977	Word	yeux
75.767	0.0899999999999963	Word	où
75.857	0.1199999999999974	Word	s
75.977	0.5200000000000031	Word	asseoir
76.829	0.1700000000000017	Word	mais
76.999	0.1400000000000005	Word	la
77.139	0.5	Word	planète
77.75	0.2299999999999968	Word	était
77.98	0.3200000000000003	Word	tout
78.301	0.5300000000000011	Word	encombrée
78.832	0.1799999999999997	Word	par
79.012	0.1099999999999994	Word	le
79.122	0.6900000000000048	Word	magnifique
79.813	0.3399999999999963	Word	manteau
80.153	0.0600000000000022	Word	d
80.214	0.5300000000000011	Word	hermine
81.725	0.1400000000000005	Word	il
81.866	0.3599999999999994	Word	resta
82.226	0.240000000000002	Word	donc
82.467	0.4399999999999977	Word	debout
83.308	0.1700000000000017	Word	et
83.668	0.1899999999999977	Word	comme
83.858	0.0999999999999943	Word	il
83.958	0.25	Word	était
84.208	0.6000000000000085	Word	fatigué
85.039	0.1700000000000017	Word	il
85.209	0.480000000000004	Word	bâilla
86.772	0.0499999999999971	Word	il
86.822	0.2000000000000028	Word	est
87.022	0.25	Word	contraire
87.273	0.2300000000000039	Word	à
87.544	0.0300000000000011	Word	l
87.574	0.4200000000000017	Word	étiquette
87.995	0.1099999999999994	Word	de
88.105	0.3400000000000034	Word	bâiller
88.445	0.0900000000000034	Word	en
88.535	0.4200000000000017	Word	présence
88.955	0.0300000000000011	Word	d
88.985	0.0899999999999892	Word	un
89.075	0.3500000000000085	Word	roi
89.647	0.1700000000000017	Word	lui
89.817	0.1899999999999977	Word	dit
90.008	0.0300000000000011	Word	le
90.038	0.539999999999992	Word	monarque
90.989	0.1699999999999875	Word	je
91.159	0.0600000000000022	Word	te
91.219	0.0799999999999983	Word	l
91.299	0.5800000000000125	Word	interdis
93.0	0.1300000000000096	Word	je
93.13	0.1400000000000005	Word	ne
93.27	0.0999999999999943	Word	peux
93.37	0.1400000000000005	Word	pas
93.51	0.0499999999999971	Word	m
93.56	0.0700000000000073	Word	en
93.67	0.5400000000000063	Word	empêcher
94.501	0.4099999999999966	Word	répondit
94.912	0.1400000000000005	Word	le
95.052	0.2700000000000102	Word	petit
95.323	0.3499999999999943	Word	prince
95.674	0.1400000000000005	Word	tout
95.814	0.4500000000000028	Word	confus
96.875	0.1299999999999954	Word	j
97.005	0.0300000000000011	Word	ai
97.035	0.1599999999999966	Word	fait
97.195	0.1400000000000005	Word	un
97.335	0.1200000000000045	Word	long
97.455	0.5499999999999972	Word	voyage
98.096	0.0300000000000011	Word	et
98.126	0.1299999999999954	Word	je
98.256	0.0900000000000034	Word	n
98.346	0.0900000000000034	Word	ai
98.436	0.1299999999999954	Word	pas
98.566	0.4200000000000017	Word	dormi
99.838	0.2100000000000079	Word	alors
100.558	0.2300000000000039	Word	lui
100.789	0.1299999999999954	Word	dit
100.919	0.1100000000000136	Word	le
101.029	0.25	Word	roi
101.7	0.1300000000000096	Word	je
101.83	0.0499999999999971	Word	t
101.88	0.4299999999999926	Word	ordonne
102.311	0.0600000000000022	Word	de
102.371	0.3800000000000096	Word	bâiller
103.291	0.1500000000000056	Word	je
103.442	0.039999999999992	Word	n
103.482	0.2100000000000079	Word	ai
103.692	0.1400000000000005	Word	vu
103.832	0.7000000000000028	Word	personne
104.533	0.3299999999999983	Word	bailler
104.863	0.289999999999992	Word	depuis
105.153	0.3800000000000096	Word	des
105.534	0.2999999999999971	Word	années
106.085	0.1199999999999903	Word	les
106.205	0.4200000000000017	Word	bâillements
106.626	0.1899999999999977	Word	sont
106.817	0.1600000000000108	Word	pour
106.977	0.1499999999999914	Word	moi
107.127	0.0900000000000034	Word	des
107.217	0.769999999999996	Word	curiosités
108.498	0.3599999999999994	Word	allons
109.018	0.2000000000000028	Word	bâille
109.219	0.519999999999996	Word	encore
109.909	0.1000000000000085	Word	c
110.009	0.1099999999999994	Word	est
110.119	0.2099999999999937	Word	un
110.329	0.2900000000000062	Word	ordre
111.811	0.2000000000000028	Word	ça
112.061	0.039999999999992	Word	m
112.101	0.6500000000000057	Word	intimide
113.123	0.1599999999999966	Word	je
113.284	0.1099999999999994	Word	ne
113.394	0.1599999999999966	Word	peux
113.554	0.3100000000000023	Word	plus
114.455	0.2399999999999948	Word	fit
114.695	0.0300000000000011	Word	le
114.725	0.2999999999999971	Word	petit
115.026	0.3800000000000096	Word	prince
115.406	0.1899999999999977	Word	tout
115.596	0.6400000000000006	Word	rougissant
117.048	0.309999999999988	Word	hum
117.488	0.2399999999999948	Word	hum
118.32	0.4099999999999966	Word	répondit
118.781	0.1099999999999994	Word	le
118.891	0.3299999999999983	Word	roi
119.912	0.6299999999999955	Word	alors
120.543	0.3400000000000034	Word	je
121.245	0.1599999999999966	Word	je
121.405	0.0499999999999971	Word	t
121.455	0.5	Word	ordonne
121.996	0.289999999999992	Word	tantôt
122.286	0.1200000000000045	Word	de
122.406	0.7800000000000011	Word	bâiller
123.187	0.019999999999996	Word	et
123.207	0.3599999999999994	Word	tantôt
123.568	0.5600000000000023	Word	de
124.789	0.1400000000000005	Word	il
124.93	0.5799999999999983	Word	bredouillait
125.51	0.1500000000000056	Word	un
125.7	0.1600000000000108	Word	peu
126.15	0.1099999999999994	Word	et
126.26	0.5300000000000011	Word	paraissait
126.791	0.5400000000000063	Word	vexé
128.232	0.2199999999999988	Word	car
128.453	0.1200000000000045	Word	le
128.573	0.269999999999996	Word	roi
128.843	0.3599999999999994	Word	tenait
129.203	0.7600000000000051	Word	essentiellement
130.105	0.1200000000000045	Word	à
130.225	0.1499999999999914	Word	ce
130.375	0.1200000000000045	Word	que
130.495	0.2600000000000051	Word	son
130.756	0.539999999999992	Word	autorité
131.296	0.2199999999999988	Word	fût
131.516	0.8900000000000006	Word	respectée
133.008	0.2199999999999988	Word	il
133.229	0.2000000000000028	Word	ne
133.53	0.519999999999996	Word	tolérait
134.05	0.2199999999999988	Word	pas
134.27	0.1700000000000017	Word	la
134.44	1.1599999999999966	Word	désobéissance
136.173	0.0999999999999943	Word	c
136.273	0.2600000000000051	Word	était
136.533	0.1099999999999994	Word	un
136.644	0.4500000000000028	Word	monarque
137.195	0.6099999999999994	Word	absolu
138.618	0.2399999999999948	Word	mais
138.858	0.2300000000000039	Word	comme
139.088	0.1299999999999954	Word	il
139.218	0.220000000000013	Word	était
139.44	0.2799999999999869	Word	très
139.721	0.2300000000000039	Word	bon
140.231	0.1899999999999977	Word	il
140.422	0.2400000000000091	Word	donnait
140.662	0.2199999999999988	Word	des
140.883	0.3799999999999954	Word	ordres
141.264	0.6599999999999966	Word	raisonnables
143.425	0.2400000000000091	Word	si
143.665	0.0300000000000011	Word	j
143.696	0.519999999999996	Word	ordonnais
144.507	0.4400000000000119	Word	disait
144.948	0.1999999999999886	Word	-il
145.148	0.5900000000000034	Word	couramment
146.23	0.1500000000000056	Word	si
146.38	0.0900000000000034	Word	j
146.47	0.3900000000000005	Word	ordonnais
146.86	0.1199999999999903	Word	à
146.981	0.0300000000000011	Word	un
147.011	0.5600000000000023	Word	général
147.572	0.0999999999999943	Word	de
147.672	0.1500000000000056	Word	se
147.822	0.4300000000000068	Word	changer
148.253	0.1399999999999863	Word	en
148.393	0.2400000000000091	Word	oiseau
148.633	0.1200000000000045	Word	de
148.753	0.3700000000000045	Word	mer
149.314	0.079999999999984	Word	et
149.394	0.1899999999999977	Word	si
149.584	0.0600000000000022	Word	le
149.644	0.5300000000000011	Word	général
150.175	0.0600000000000022	Word	n
150.235	0.5800000000000125	Word	obéissait
150.816	0.1800000000000068	Word	pas
151.427	0.1500000000000056	Word	ce
151.577	0.1299999999999954	Word	ne
151.708	0.25	Word	serait
151.958	0.1200000000000045	Word	pas
152.078	0.0900000000000034	Word	la
152.168	0.1800000000000068	Word	faute
152.348	0.1099999999999852	Word	du
152.458	0.5200000000000102	Word	général
153.409	0.1599999999999966	Word	ce
153.569	0.2599999999999909	Word	serait
153.829	0.2299999999999897	Word	ma
154.059	0.4200000000000159	Word	faute
155.651	0.2700000000000102	Word	puis
155.921	0.0300000000000011	Word	-je
155.951	0.0600000000000022	Word	m
156.012	0.5799999999999841	Word	asseoir
156.892	0.1500000000000056	Word	s
157.043	0.3499999999999943	Word	enquit
157.393	0.5200000000000102	Word	timidement
157.914	0.1299999999999954	Word	le
158.044	0.2599999999999909	Word	petit
158.304	0.5699999999999932	Word	prince
159.526	0.0999999999999943	Word	je
159.697	0.0300000000000011	Word	t
159.727	0.4699999999999988	Word	ordonne
160.197	0.0499999999999829	Word	de
160.247	0.0699999999999931	Word	t
160.317	0.5900000000000034	Word	asseoir
161.228	0.1599999999999966	Word	lui
161.388	0.4799999999999897	Word	répondit
161.869	0.1200000000000045	Word	le
161.989	0.25	Word	roi
162.59	0.1599999999999966	Word	qui
162.751	0.5	Word	ramena
163.251	1.1400000000000148	Word	majestueusement
164.393	0.1999999999999886	Word	un
164.653	0.1699999999999875	Word	pan
164.823	0.1000000000000227	Word	de
164.923	0.2099999999999795	Word	son
165.133	0.3000000000000113	Word	manteau
165.434	0.0600000000000022	Word	d
165.494	0.5	Word	hermine
166.915	0.2800000000000011	Word	mais
167.196	0.0300000000000011	Word	le
167.226	0.3000000000000113	Word	petit
167.526	0.5200000000000102	Word	prince
168.046	0.0199999999999818	Word	s
168.066	0.450000000000017	Word	étonnait
169.297	0.1699999999999875	Word	la
169.467	0.3799999999999954	Word	planète
169.848	0.2100000000000079	Word	était
170.058	0.789999999999992	Word	minuscule
171.42	0.3700000000000045	Word	sur
171.791	0.3199999999999932	Word	quoi
172.111	0.1800000000000068	Word	le
172.291	0.3000000000000113	Word	roi
172.592	0.4199999999999875	Word	pouvait
173.013	0.2199999999999988	Word	-il
173.234	0.1599999999999966	Word	bien
173.394	0.5500000000000114	Word	régner
174.727	0.5699999999999932	Word	sire
175.498	0.2199999999999988	Word	lui
175.718	0.2299999999999897	Word	dit
175.948	0.3400000000000034	Word	-il
176.809	0.1399999999999863	Word	je
176.95	0.1699999999999875	Word	vous
177.12	0.25	Word	demande
177.37	0.3800000000000239	Word	pardon
177.751	0.0899999999999749	Word	de
177.841	0.1900000000000261	Word	vous
178.031	0.6499999999999773	Word	interroger
179.243	0.1500000000000056	Word	je
179.393	0.0500000000000113	Word	t
179.443	0.549999999999983	Word	ordonne
179.994	0.0800000000000125	Word	de
180.074	0.0699999999999931	Word	m
180.144	0.6299999999999955	Word	interroger
181.086	0.1800000000000068	Word	se
181.266	0.3799999999999954	Word	hâta
181.646	0.1100000000000136	Word	de
181.756	0.2299999999999897	Word	dire
181.988	0.1099999999999852	Word	le
182.098	0.3100000000000023	Word	roi
183.178	0.5800000000000125	Word	sire
184.02	0.2100000000000079	Word	sur
184.23	0.2099999999999795	Word	quoi
184.44	0.3300000000000125	Word	régnez
184.77	0.289999999999992	Word	-vous
185.923	0.3199999999999932	Word	sur
