onset	duration	trial_type	stimulus
19.286	0.1200000000000001	Word	mais
19.467	0.08	Word	il
19.607	0.4100000000000001	Word	arriva
20.078	0.02	Word	que
20.278	0.0599999999999996	Word	le
20.338	0.3399999999999998	Word	petit
20.679	0.5899999999999999	Word	prince
21.43	0.3700000000000001	Word	ayant
21.8	0.6399999999999997	Word	longtemps
22.441	0.4200000000000008	Word	marché
22.862	0.0799999999999991	Word	à
22.942	0.3400000000000007	Word	travers
23.282	0.1399999999999996	Word	les
23.422	0.54	Word	sables
24.224	0.1799999999999997	Word	les
24.404	0.4399999999999995	Word	rocs
24.975	0.0899999999999998	Word	et
25.065	0.1199999999999992	Word	les
25.185	0.5199999999999996	Word	neiges
26.096	0.6600000000000001	Word	découvrit
26.757	0.5500000000000007	Word	enfin
27.309	0.2699999999999996	Word	une
27.579	0.5399999999999991	Word	route
28.611	0.0700000000000002	Word	Et
28.681	0.1300000000000007	Word	les
28.812	0.5199999999999996	Word	routes
29.333	0.2300000000000004	Word	vont
29.724	0.4100000000000001	Word	toutes
30.206	0.200000000000001	Word	chez
30.406	0.25	Word	les
30.657	0.2899999999999991	Word	hommes
31.999	0.5800000000000001	Word	«Bonjour»
32.811	0.259999999999998	Word	dit
33.071	0.3900000000000005	Word	-il
33.971	0.1499999999999985	Word	C
34.121	0.240000000000002	Word	était
34.361	0.129999999999999	Word	un
34.492	0.5599999999999987	Word	jardin
35.052	0.6000000000000014	Word	fleuri
35.653	0.1499999999999985	Word	de
35.803	0.5	Word	roses
37.235	1.0300000000000011	Word	«Bonjour»
38.459	0.2099999999999973	Word	dirent
38.669	0.1300000000000025	Word	les
38.799	0.509999999999998	Word	roses
40.081	0.1900000000000012	Word	Le
40.272	0.3599999999999994	Word	petit
40.632	0.4800000000000004	Word	prince
41.113	0.1600000000000001	Word	les
41.273	0.5700000000000003	Word	regarda
42.435	0.129999999999999	Word	Elles
42.565	0.6500000000000021	Word	ressemblaient
43.355	0.3500000000000014	Word	toutes
43.765	0.120000000000001	Word	à
43.885	0.1900000000000012	Word	sa
44.076	0.5399999999999991	Word	fleur
45.618	0.3200000000000003	Word	«Qui
45.939	0.120000000000001	Word	êtes
