onset	duration	trial_type	stimulus
25.141	0.06	Word	il
25.262	0.1499999999999999	Word	y
25.472	0.31	Word	avait
26.112	0.04	Word	à
26.233	0.4599999999999999	Word	côté
26.693	0.0499999999999998	Word	du
26.793	0.2599999999999998	Word	puits
27.363	0.2000000000000001	Word	une
27.564	0.5099999999999998	Word	ruine
28.074	0.1899999999999995	Word	de
28.264	0.29	Word	vieux
28.554	0.3000000000000007	Word	mur
28.854	0.1699999999999999	Word	de
29.025	0.5499999999999998	Word	pierre
30.195	0.450000000000001	Word	lorsque
30.645	0.1600000000000001	Word	je
30.805	0.3599999999999994	Word	revins
31.165	0.1099999999999994	Word	de
31.275	0.1400000000000005	Word	mon
31.416	0.6500000000000004	Word	travail
32.315	0.1600000000000001	Word	le
32.476	0.5199999999999996	Word	lendemain
32.996	0.5700000000000003	Word	soir
34.045	0.1699999999999999	Word	j
34.216	0.5399999999999991	Word	aperçus
34.755	0.120000000000001	Word	de
34.876	0.2899999999999991	Word	loin
35.166	0.1699999999999999	Word	mon
35.336	0.3100000000000005	Word	petit
35.646	0.5	Word	prince
36.146	0.5099999999999998	Word	assis
36.656	0.1699999999999999	Word	là
36.826	0.1600000000000001	Word	-haut
37.236	0.1999999999999993	Word	les
37.437	0.4100000000000019	Word	jambes
37.846	0.6699999999999982	Word	pendantes
39.276	0.0700000000000002	Word	et
39.346	0.1099999999999994	Word	je
39.456	0.0700000000000002	Word	l
39.526	0.509999999999998	Word	entendis
40.036	0.1500000000000021	Word	qui
40.187	0.4299999999999997	Word	parlait
41.786	0.25	Word	tu
42.036	0.0300000000000011	Word	ne
42.066	0.0399999999999991	Word	t
42.107	0.0700000000000002	Word	en
42.177	0.3099999999999987	Word	souviens
42.487	0.240000000000002	Word	donc
42.727	0.25	Word	pas
43.327	0.4500000000000028	Word	disait
43.777	0.3399999999999998	Word	-il
44.606	0.1799999999999997	Word	ce
44.786	0.0600000000000022	Word	n
44.846	0.1099999999999994	Word	est
44.957	0.129999999999999	Word	pas
45.087	0.1999999999999993	Word	tout
45.287	0.0600000000000022	Word	à
45.347	0.2399999999999984	Word	fait
45.588	0.379999999999999	Word	ici
46.936	0.2300000000000004	Word	une
47.166	0.2899999999999991	Word	autre
47.457	0.1999999999999993	Word	voix
47.657	0.1600000000000001	Word	lui
47.817	0.5300000000000011	Word	répondit
48.347	0.1799999999999997	Word	sans
48.527	0.3599999999999994	Word	doute
49.036	0.2800000000000011	Word	puisqu
49.317	0.0700000000000002	Word	il
49.387	0.5	Word	répliqua
50.456	0.2899999999999991	Word	si
50.846	0.259999999999998	Word	si
51.306	0.120000000000001	Word	c
51.426	0.129999999999999	Word	est
51.557	0.1500000000000021	Word	bien
51.707	0.1199999999999974	Word	le
51.827	0.3900000000000005	Word	jour
52.277	0.1400000000000005	Word	mais
52.417	0.1499999999999985	Word	ce
52.567	0.0700000000000002	Word	n
52.638	0.0899999999999998	Word	est
52.728	0.1900000000000012	Word	pas
52.918	0.3199999999999967	Word	ici
53.238	0.0400000000000027	Word	l
53.278	0.3200000000000003	Word	endroit
54.926	0.259999999999998	Word	je
55.186	0.490000000000002	Word	poursuivis
55.676	0.1499999999999985	Word	ma
55.827	0.3900000000000005	Word	marche
56.217	0.1499999999999985	Word	vers
56.367	0.1200000000000045	Word	le
56.487	0.4099999999999966	Word	mur
57.476	0.1700000000000017	Word	je
57.646	0.1499999999999985	Word	ne
57.797	0.3900000000000005	Word	voyais
58.187	0.1700000000000017	Word	ni
58.357	0.0799999999999983	Word	n
58.437	0.4699999999999988	Word	entendais
58.907	0.480000000000004	Word	toujours
59.387	0.4299999999999997	Word	personne
60.796	0.3800000000000025	Word	pourtant
61.176	0.1600000000000037	Word	le
61.336	0.269999999999996	Word	petit
61.606	0.3999999999999986	Word	prince
62.006	0.5200000000000031	Word	répliqua
62.526	0.1199999999999974	Word	de
62.646	0.3500000000000014	Word	nouveau
63.755	0.2000000000000028	Word	bien
63.956	0.4799999999999969	Word	sûr
64.765	0.1699999999999946	Word	tu
64.976	0.2900000000000062	Word	verras
65.266	0.1099999999999994	Word	où
65.376	0.3699999999999974	Word	commence
65.746	0.1099999999999994	Word	ma
65.856	0.3299999999999983	Word	trace
66.186	0.1099999999999994	Word	dans
66.297	0.0800000000000054	Word	le
66.376	0.5	Word	sable
67.376	0.1400000000000005	Word	tu
67.516	0.0599999999999951	Word	n
67.577	0.0500000000000042	Word	as
67.627	0.1299999999999954	Word	qu
67.757	0.0500000000000042	Word	à
67.807	0.0700000000000002	Word	m
67.878	0.0799999999999983	Word	y
67.958	0.5	Word	attendre
68.807	0.1299999999999954	Word	j
68.937	0.0800000000000054	Word	y
69.018	0.3399999999999963	Word	serai
69.357	0.3599999999999994	Word	cette
69.717	0.2800000000000011	Word	nuit
71.524	0.102413999999996	Word	j
71.627	0.3588730000000026	Word	étais
71.986	0.0499999999999971	Word	à
72.096	0.1599999999999966	Word	vingt
72.256	0.2899999999999991	Word	mètres
72.546	0.0750000000000028	Word	du
72.697	0.3399999999999963	Word	mur
73.127	0.0599999999999951	Word	et
73.187	0.1500000000000056	Word	je
73.337	0.1299999999999954	Word	ne
73.467	0.3800000000000025	Word	voyais
73.977	0.6400000000000006	Word	toujours
74.616	0.1799999999999997	Word	rien
75.756	0.1700000000000017	Word	le
75.926	0.3100000000000023	Word	petit
76.236	0.3399999999999963	Word	prince
76.576	0.1799999999999997	Word	dit
76.756	0.5500000000000043	Word	encore
77.306	0.4199999999999946	Word	après
77.726	0.0900000000000034	Word	un
77.816	0.6599999999999966	Word	silence
79.045	0.1300000000000025	Word	tu
79.176	0.0799999999999983	Word	as
79.296	0.0500000000000042	Word	du
79.396	0.1600000000000037	Word	bon
79.556	0.3999999999999986	Word	venin
80.436	0.1700000000000017	Word	tu
80.606	0.1199999999999974	Word	es
80.726	0.4600000000000008	Word	sûr
81.186	0.0900000000000034	Word	de
81.276	0.1899999999999977	Word	ne
81.467	0.1400000000000005	Word	pas
81.606	0.1199999999999974	Word	me
81.727	0.2300000000000039	Word	faire
81.957	0.5399999999999991	Word	souffrir
82.497	0.4699999999999988	Word	longtemps
84.285	0.2100000000000008	Word	je
84.495	0.3200000000000003	Word	fis
84.815	0.4500000000000028	Word	halte
85.445	0.1799999999999997	Word	le
85.625	0.2899999999999991	Word	coeur
85.915	0.4599999999999937	Word	serré
86.715	0.1500000000000056	Word	mais
