onset	duration	trial_type	stimulus
14.069	0.1200000000000001	Word	il
14.269	0.02	Word	se
14.47	0.25	Word	trouvait
14.78	0.0900000000000003	Word	dans
14.87	0.0699999999999998	Word	la
15.001	0.4699999999999997	Word	région
15.471	0.2300000000000004	Word	des
15.701	0.7199999999999998	Word	astéroïdes
16.421	1.17	Word	325
17.691	1.1999999999999993	Word	326
19.061	1.0299999999999994	Word	327
20.271	1.2100000000000009	Word	328
21.621	1.0900000000000016	Word	329
22.971	0.0899999999999998	Word	et
23.061	1.0399999999999991	Word	330
24.981	0.1899999999999995	Word	il
25.171	0.4199999999999999	Word	commença
25.591	0.3200000000000003	Word	donc
25.912	0.1699999999999999	Word	par
26.082	0.1500000000000003	Word	les
26.232	0.6099999999999994	Word	visiter
26.842	0.2600000000000015	Word	pour
27.102	0.0399999999999991	Word	y
27.143	0.4899999999999984	Word	chercher
27.633	0.1099999999999994	Word	une
27.743	0.7200000000000024	Word	occupation
28.703	0.0899999999999998	Word	et
28.793	0.1799999999999997	Word	pour
28.973	0.1000000000000014	Word	s
29.074	0.6699999999999982	Word	instruire
30.643	0.1999999999999993	Word	le
30.843	0.4800000000000004	Word	premier
31.323	0.3399999999999998	Word	était
31.663	0.3999999999999986	Word	habité
32.063	0.1600000000000001	Word	par
32.223	0.1799999999999997	Word	un
32.404	0.2800000000000011	Word	roi
33.273	0.2100000000000008	Word	le
33.483	0.25	Word	roi
33.734	0.7199999999999989	Word	siégeait
34.623	0.4599999999999973	Word	habillé
35.083	0.1700000000000017	Word	de
35.253	0.379999999999999	Word	pourpre
35.714	0.0799999999999983	Word	et
35.794	0.0600000000000022	Word	d
35.854	0.5499999999999972	Word	hermine
36.644	0.25	Word	sur
36.894	0.1400000000000005	Word	un
37.034	0.379999999999999	Word	trône
37.414	0.3299999999999983	Word	très
37.744	0.5899999999999999	Word	simple
38.504	0.0599999999999987	Word	et
38.564	0.5899999999999999	Word	cependant
39.154	0.7700000000000031	Word	majestueux
41.063	0.3000000000000007	Word	ah
41.533	0.2099999999999973	Word	voilà
41.843	0.0199999999999995	Word	un
41.864	0.4400000000000013	Word	sujet
42.773	0.129999999999999	Word	s
42.903	0.3700000000000045	Word	écria
43.273	0.1199999999999974	Word	le
43.393	0.3100000000000023	Word	roi
43.704	0.259999999999998	Word	quand
43.964	0.0799999999999983	Word	il
44.044	0.3999999999999986	Word	aperçut
44.444	0.1300000000000025	Word	le
44.574	0.2800000000000011	Word	petit
44.854	0.5499999999999972	Word	prince
46.143	0.0600000000000022	Word	et
46.204	0.1299999999999954	Word	le
46.334	0.2600000000000051	Word	petit
46.594	0.4799999999999969	Word	prince
47.074	0.0700000000000002	Word	se
47.144	0.4600000000000008	Word	demanda
48.233	0.4500000000000028	Word	comment
48.683	0.1400000000000005	Word	peut
48.824	0.1400000000000005	Word	-il
48.964	0.0799999999999983	Word	me
49.044	0.6400000000000006	Word	reconnaître
49.683	0.3100000000000023	Word	puisqu
49.994	0.0899999999999963	Word	il
50.084	0.0700000000000002	Word	ne
50.154	0.0799999999999983	Word	m
50.234	0.0400000000000062	Word	a
50.275	0.3799999999999954	Word	encore
50.655	0.5500000000000043	Word	jamais
51.204	0.1799999999999997	Word	vu
52.443	0.1300000000000025	Word	il
52.574	0.0700000000000002	Word	ne
52.644	0.3900000000000005	Word	savait
53.034	0.1999999999999957	Word	pas
53.234	0.3200000000000003	Word	que
53.724	0.1600000000000037	Word	pour
53.884	0.1599999999999966	Word	les
54.044	0.2800000000000011	Word	rois
54.674	0.1899999999999977	Word	le
54.864	0.3599999999999994	Word	monde
55.224	0.1600000000000037	Word	est
55.384	0.3299999999999983	Word	très
55.714	0.7800000000000011	Word	simplifié
56.893	0.1599999999999966	Word	tous
57.054	0.2700000000000031	Word	les
57.324	0.1799999999999997	Word	hommes
57.504	0.2299999999999968	Word	sont
57.734	0.1200000000000045	Word	des
57.854	0.4699999999999988	Word	sujets
59.253	0.3500000000000014	Word	approche
59.603	0.2100000000000008	Word	-toi
59.863	0.0300000000000011	Word	que
59.894	0.1499999999999985	Word	je
60.044	0.0700000000000002	Word	te
60.114	0.1899999999999977	Word	voie
60.304	0.3300000000000054	Word	mieux
60.954	0.2199999999999988	Word	lui
61.174	0.1400000000000005	Word	dit
61.314	0.1400000000000005	Word	le
61.454	0.3200000000000003	Word	roi
61.864	0.3100000000000023	Word	qui
62.174	0.269999999999996	Word	était
62.444	0.3800000000000025	Word	tout
62.824	0.4200000000000017	Word	fier
63.244	0.0599999999999951	Word	d
63.304	0.240000000000002	Word	être
63.544	0.4299999999999997	Word	enfin
63.974	0.3000000000000042	Word	roi
64.274	0.2299999999999968	Word	pour
64.504	0.3400000000000034	Word	quelqu
64.844	0.1099999999999994	Word	un
66.083	0.1099999999999994	Word	le
66.194	0.3800000000000025	Word	petit
66.574	0.1700000000000017	Word	prince
66.843	0.5899999999999963	Word	chercha
67.433	0.25	Word	des
67.683	0.1899999999999977	Word	yeux
67.954	0.0899999999999963	Word	où
68.044	0.1199999999999974	Word	s
68.164	0.5200000000000031	Word	asseoir
69.013	0.1700000000000017	Word	mais
69.184	0.1400000000000005	Word	la
69.324	0.5	Word	planète
69.934	0.2299999999999968	Word	était
70.164	0.3200000000000003	Word	tout
70.484	0.5300000000000011	Word	encombrée
71.013	0.1799999999999997	Word	par
71.194	0.1099999999999994	Word	le
71.304	0.6900000000000048	Word	magnifique
71.993	0.3399999999999963	Word	manteau
72.333	0.0600000000000022	Word	d
72.394	0.5300000000000011	Word	hermine
73.903	0.1400000000000005	Word	il
74.043	0.3599999999999994	Word	resta
74.403	0.240000000000002	Word	donc
74.643	0.4399999999999977	Word	debout
75.483	0.1700000000000017	Word	et
75.843	0.1899999999999977	Word	comme
76.033	0.0999999999999943	Word	il
76.133	0.25	Word	était
76.383	0.6000000000000085	Word	fatigué
77.213	0.1700000000000017	Word	il
77.383	0.480000000000004	Word	bâilla
78.942	0.0499999999999971	Word	il
78.992	0.2000000000000028	Word	est
79.193	0.25	Word	contraire
79.443	0.2300000000000039	Word	à
79.713	0.0300000000000011	Word	l
79.743	0.4200000000000017	Word	étiquette
80.163	0.1099999999999994	Word	de
80.273	0.3400000000000034	Word	bâiller
80.613	0.0900000000000034	Word	en
80.704	0.4200000000000017	Word	présence
81.124	0.0300000000000011	Word	d
81.154	0.0899999999999892	Word	un
81.244	0.3500000000000085	Word	roi
81.814	0.1700000000000017	Word	lui
81.984	0.1899999999999977	Word	dit
82.174	0.0300000000000011	Word	le
82.205	0.539999999999992	Word	monarque
83.153	0.1699999999999875	Word	je
83.324	0.0600000000000022	Word	te
83.384	0.0799999999999983	Word	l
83.464	0.5800000000000125	Word	interdis
85.163	0.1300000000000096	Word	je
85.293	0.1400000000000005	Word	ne
85.433	0.0999999999999943	Word	peux
85.533	0.1400000000000005	Word	pas
85.673	0.0499999999999971	Word	m
85.724	0.0700000000000073	Word	en
85.834	0.5400000000000063	Word	empêcher
86.663	0.4099999999999966	Word	répondit
87.073	0.1400000000000005	Word	le
87.214	0.2700000000000102	Word	petit
87.484	0.3499999999999943	Word	prince
87.834	0.1400000000000005	Word	tout
87.974	0.4500000000000028	Word	confus
89.033	0.1299999999999954	Word	j
89.163	0.0300000000000011	Word	ai
89.194	0.1599999999999966	Word	fait
89.354	0.1400000000000005	Word	un
89.494	0.1200000000000045	Word	long
89.614	0.5499999999999972	Word	voyage
90.254	0.0300000000000011	Word	et
90.284	0.1299999999999954	Word	je
