onset	duration	trial_type	stimulus
47.936	0.3700000000000001	Word	lorsque
48.306	0.02	Word	j
48.416	0.2299999999999999	Word	avais
48.817	0.2499999999999995	Word	six
49.067	0.1800000000000006	Word	ans
49.287	0.1399999999999996	Word	j
49.427	0.234013	Word	ai
49.747	0.2904290000000014	Word	vu
50.038	0.3501379999999985	Word	une
50.388	0.33	Word	fois
51.028	0.4599999999999999	Word	une
51.488	0.6100000000000003	Word	magnifique
52.099	0.5	Word	image
52.749	0.3199999999999994	Word	dans
53.069	0.200000000000001	Word	un
53.269	0.2699999999999996	Word	livre
53.539	0.1999999999999993	Word	sur
53.74	0.0999999999999996	Word	la
53.84	0.3800000000000008	Word	forêt
54.22	0.4800000000000004	Word	vierge
54.7	0.1799999999999997	Word	qui
54.88	0.129999999999999	Word	s
55.01	0.4400000000000013	Word	appelait
55.7	0.5399999999999991	Word	histoires
56.24	0.4399999999999995	Word	vécues
57.529	0.3099999999999987	Word	ça
57.839	0.5899999999999999	Word	représentait
58.43	0.1300000000000007	Word	un
58.56	0.4900000000000002	Word	serpent
59.05	0.379999999999999	Word	boa
59.66	0.1799999999999997	Word	qui
59.84	0.4600000000000008	Word	avalait
60.3	0.1400000000000005	Word	un
60.44	0.5799999999999983	Word	fauve
61.61	0.4100000000000001	Word	voilà
62.02	0.1300000000000025	Word	la
62.15	0.389999999999997	Word	copie
62.54	0.0750000000000028	Word	du
62.69	0.3999999999999986	Word	dessin
64.359	0.0600000000000022	Word	on
64.42	0.4100000000000001	Word	disait
64.83	0.1699999999999981	Word	dans
65.0	0.1500000000000021	Word	le
65.15	0.509999999999998	Word	livre
65.87	0.1900000000000012	Word	les
66.06	0.4799999999999969	Word	serpents
66.54	0.4299999999999997	Word	boas
67.03	0.5500000000000007	Word	avalent
67.58	0.1899999999999977	Word	leur
67.77	0.3599999999999994	Word	proie
68.29	0.25	Word	tout
68.54	0.6600000000000001	Word	entière
69.2	0.3500000000000014	Word	sans
69.55	0.129999999999999	Word	la
69.68	0.490000000000002	Word	mâcher
70.7	0.5199999999999996	Word	ensuite
71.22	0.1000000000000014	Word	ils
71.32	0.1400000000000005	Word	ne
71.46	0.2300000000000004	Word	peuvent
71.69	0.259999999999998	Word	plus
71.951	0.4642400000000002	Word	bouger
72.595	0.1711549999999988	Word	et
72.767	0.1439419999999991	Word	ils
72.911	0.4200000000000017	Word	dorment
73.331	0.3299999999999983	Word	pendant
73.661	0.1400000000000005	Word	les
73.801	0.3200000000000003	Word	six
74.121	0.2800000000000011	Word	mois
74.401	0.0999999999999978	Word	de
74.501	0.1700000000000017	Word	leur
74.671	0.5999999999999979	Word	digestion
77.085	0.1457989999999966	Word	j
77.231	0.1014249999999989	Word	ai
77.332	0.3576150000000027	Word	alors
77.69	0.6099999999999994	Word	beaucoup
78.3	0.6700000000000017	Word	réfléchi
78.97	0.1700000000000017	Word	sur
79.14	0.2199999999999988	Word	les
79.36	0.5	Word	aventures
79.86	0.1200000000000045	Word	de
79.98	0.1399999999999934	Word	la
80.12	0.480000000000004	Word	jungle
81.12	0.1700000000000017	Word	et
81.49	0.1299999999999954	Word	à
81.62	0.2000000000000028	Word	mon
81.82	0.3400000000000034	Word	tour
82.37	0.1400000000000005	Word	j
82.51	0.1200000000000045	Word	ai
82.63	0.5700000000000003	Word	réussi
83.41	0.3200000000000003	Word	avec
83.73	0.0999999999999943	Word	un
83.831	0.3700000000000045	Word	crayon
84.2	0.1299999999999954	Word	de
84.331	0.5900000000000034	Word	couleur
85.36	0.1300000000000025	Word	à
85.49	0.5300000000000011	Word	tracer
86.02	0.1899999999999977	Word	mon
86.25	0.490000000000002	Word	premier
86.74	0.3500000000000014	Word	dessin
87.68	0.2199999999999988	Word	mon
87.9	0.4200000000000017	Word	dessin
88.32	0.490000000000002	Word	numéro
88.91	0.1699999999999946	Word	1
89.809	0.1599999999999966	Word	il
89.97	0.3200000000000003	Word	était
90.29	0.2899999999999991	Word	comme
90.58	0.2600000000000051	Word	ça
92.379	0.0899999999999963	Word	j
92.469	0.1499999999999985	Word	ai
92.619	0.3700000000000045	Word	montré
92.989	0.1099999999999994	Word	mon
93.1	0.2999999999999971	Word	chef
93.4	0.0800000000000054	Word	-d
93.48	0.3199999999999932	Word	oeuvre
93.8	0.0600000000000022	Word	aux
93.92	0.2999999999999971	Word	grandes
94.26	0.6300000000000026	Word	personnes
95.22	0.0200000000000031	Word	et
95.241	0.1499999999999985	Word	je
95.39	0.259999999999998	Word	leur
95.65	0.0700000000000002	Word	ai
95.721	0.4299999999999997	Word	demandé
96.151	0.1700000000000017	Word	si
96.321	0.1400000000000005	Word	mon
96.461	0.3900000000000005	Word	dessin
96.851	0.1599999999999966	Word	leur
97.011	0.3599999999999994	Word	faisait
97.371	0.4400000000000048	Word	peur
99.209	0.1899999999999977	Word	elles
99.4	0.0500000000000042	Word	m
99.56	0.019999999999996	Word	ont
99.581	0.6300000000000026	Word	répondu
100.7	0.4899999999999949	Word	pourquoi
101.189	0.1300000000000025	Word	un
101.32	0.3900000000000005	Word	chapeau
101.71	0.3800000000000025	Word	ferait
102.09	0.1400000000000005	Word	-il
102.23	0.4099999999999966	Word	peur
103.709	0.1499999999999985	Word	mon
103.859	0.3000000000000042	Word	dessin
104.239	0.1099999999999994	Word	ne
104.349	0.6199999999999974	Word	représentait
104.969	0.240000000000002	Word	pas
105.21	0.0899999999999963	Word	un
105.3	0.4100000000000037	Word	chapeau
106.249	0.1400000000000005	Word	il
106.389	0.6799999999999997	Word	représentait
107.069	0.0900000000000034	Word	un
107.159	0.4199999999999946	Word	serpent
107.579	0.4000000000000057	Word	boa
107.98	0.2099999999999937	Word	qui
108.19	0.6400000000000006	Word	digérait
108.829	0.1599999999999966	Word	un
108.99	0.480000000000004	Word	éléphant
110.419	0.1299999999999954	Word	j
110.549	0.1700000000000017	Word	ai
110.72	0.3400000000000034	Word	alors
111.059	0.519999999999996	Word	dessiné
111.579	0.0600000000000022	Word	l
111.639	0.5400000000000063	Word	intérieur
112.18	0.0549999999999926	Word	du
112.29	0.3999999999999915	Word	serpent
112.689	0.3599999999999994	Word	boa
113.36	0.3100000000000023	Word	afin
113.669	0.1099999999999994	Word	que
113.78	0.1200000000000045	Word	les
113.9	0.25	Word	grandes
114.15	0.3999999999999915	Word	personnes
114.55	0.2199999999999988	Word	puissent
114.77	0.6400000000000006	Word	comprendre
116.029	0.3499999999999943	Word	elles
116.379	0.1900000000000119	Word	ont
116.719	0.6599999999999966	Word	toujours
117.379	0.3599999999999994	Word	besoin
117.739	0.0600000000000022	Word	d
117.799	0.6899999999999977	Word	explications
119.319	0.2199999999999988	Word	mon
